"agency_id","agency_name","agency_url","agency_timezone"
"6714","Jyväskylän Liikenne Oy","http://www.jyvaskylanliikenne.fi","Europe/Helsinki"
"6743","Koivuranta Oy","http://www.koivuranta.fi","Europe/Helsinki"
"6949","Uuraisten Liikenne Ky","http://www.uuraistenliikenne.fi","Europe/Helsinki"
"6902","Savo-Karjalan Linja Oy","http://www.savokarjalanlinja.fi/","Europe/Helsinki"
"6791","Linja-Karjala Oy","http://savonlinja-yhtiot.fi/","Europe/Helsinki"
"47258","Oulun taksipalvelut Oy","http://otptravel.fi/","Europe/Helsinki"
"48315","Oubus Oy","http://www.oubus.fi/","Europe/Helsinki"
"6915","Suorsan Liikenne Ky","http://suorsanliikenne.fi/","Europe/Helsinki"
"6750","Koskilinjat Oy","http://www.koskilinjat.fi/","Europe/Helsinki"
"6852","Oy Pohjolan liikenne Ab","http://www.pohjolanliikenne.fi","Europe/Helsinki"
"44517","Kuopion Liikenne Oy","http://www.kuopionliikenne.fi/","Europe/Helsinki"
"6677","Autolinjat Oy","http://www.savonlinjat.fi/","Europe/Helsinki"
"46231","ML-Charter Oy","http://www.mattilanliikenne.fi/","Europe/Helsinki"
"7399","Etelä-Suomen Linjaliikenne Oy","http://www.savonlinjat.fi","Europe/Helsinki"
"6804","Linjaliikenne Martti Laurila Oy","http://marttilaurila.com/","Europe/Helsinki"
"44303","Kari Väisänen Ky","http://www.autoyhtiotkvaisanen.fi/","Europe/Helsinki"
"46075","Matkatoimisto Matka-Majuri Ky","http://matka-majuri.fi/","Europe/Helsinki"
"6783","Linja-autoliikenne P. Puolakka Ky","http://www.puolakka.com/","Europe/Helsinki"
"7192","Elimäen Liikenne Oy","http://www.elimaenliikenne.fi/","Europe/Helsinki"
"7327","Anjalankosken Linja Oy","http://anjalankoskenlinja.fi/","Europe/Helsinki"
"6903","Savonlinja Oy","http://www.savonlinjat.fi/","Europe/Helsinki"
"52126","Liikenne M. Heikura Oy","http://www.google.fi","Europe/Helsinki"
"6717","Jääskeläisen Auto Oy","http://www.jaaskelaisenauto.fi/","Europe/Helsinki"
"9999","Kilpailutus käynnissä","http://www.hankintailmoitukset.fi/","Europe/Helsinki"
"54836","TILAUSAJOT MENNÄÄN BUSSILLA OY","http://www.mennaanbussilla.fi/","Europe/Helsinki"
"46673","Revon Turistiliikenne Oy","http://www.revonturistiliikenne.fi/","Europe/Helsinki"
"57001","Matkamestarit Oy","http://www.matkamestarit.fi/","Europe/Helsinki"
