"route_id","contract_id","update_permission","contract_type"
"9011","3","0","6"
"9012","3","0","6"
"9021","3","0","6"
"9022","2","0","6"
"9031","2","0","6"
"9032","2","0","6"
"9051","5","0","6"
"9052","5","0","6"
"9101","2","0","6"
"9121","2","0","6"
"9122","2","0","6"
"9131","4","0","6"
"9132","4","0","6"
"9133","ELY","0","1"
"9134","ELY","0","1"
"9141","2","0","6"
"9142","2","0","6"
"9143","2","0","6"
"9144","2","0","6"
"9151","2","0","6"
"9152","2","0","6"
"9161","4","0","6"
"9162","4","0","6"
"9181","2","0","6"
"9182","2","0","6"
"9183","2","0","6"
"9184","2","0","6"
"9201","2","0","6"
"9202","2","0","6"
"9211","4","0","6"
"9212","4","0","6"
"9213","4","0","6"
"9214","1","0","6"
"9221","1","0","6"
"9222","1","0","6"
"9251","1","0","6"
"9252","1","0","6"
"9271","1","0","6"
"9272","1","0","6"
"9321","1","0","6"
"9322","1","0","6"
"9361","1","0","6"
"9362","1","0","6"
"9422","3","0","6"
"9384","1","0","6"
"9383","1","0","6"
"9382","1","0","6"
"9381","1","0","6"
"9372","1","0","6"
"9342","1","0","6"
"9341","1","0","6"
"9312","1","0","6"
"9311","1","0","6"
"9262","1","0","6"
"9261","1","0","6"
"9224","1","0","6"
"9223","1","0","6"
"9192","3","0","6"
"9191","3","0","6"
"9164","4","0","6"
"9163","4","0","6"
"9154","2","0","6"
"9153","2","0","6"
"9123","2","0","6"
"9102","2","0","6"
"9082","2","0","6"
"9081","2","0","6"
"9072","4","0","6"
"9071","4","0","6"
"9053","5","0","6"
"9042","3","0","6"
"9041","3","0","6"
"9024","3","0","6"
"9023","2","0","6"
"9013","3","0","6"
"9421","3","0","6"
"9014","3","0","6"
"9391","1","0","6"
"9392","1","0","6"
"9033","2","0","6"
"9034","2","0","6"
"9124","2","0","6"
"1001","1","0","6"
"1002","1","0","6"
"1003","2","0","6"
"1004","2","0","6"
"1005","3","0","6"
"1006","3","0","6"
"1007","44","0","6"
"1008","43","0","6"
"1009","42","0","6"
"1010","5","0","6"
"1011","5","0","6"
"1012","5","0","6"
"1013","5","0","6"
"1014","5","0","6"
"1015","5","0","6"
"1016","5","0","6"
"1017","5","0","6"
"1018","5","0","6"
"1019","5","0","6"
"1020","6","0","6"
"1021","6","0","6"
"1022","6","0","6"
"1023","6","0","6"
"1024","6","0","6"
"1025","6","0","6"
"1026","61","0","6"
"1027","6","0","6"
"1028","4","0","6"
"1030","41","0","6"
"9402","1","0","4"
"9403","1","0","4"
"9412","2","0","4"
"9413","2","0","4"
